File,Corners,Circularity,H0,H1,H2,H3,H4,H5,H6
486.png,3,0.6039460265240473,-0.723947458767067,-4.14404774620963,-2.408517184846913,-5.482215773919922,-10.014318904681437,-7.952881427880852,-9.442657666062571
507.png,3,0.6004879802444367,-0.7241850860851197,-4.316150197863004,-2.4099527374609715,-5.622560614598271,-9.705749575161986,-7.866009298237307,-9.92698382750578
1824.png,3,0.5894803258554333,-0.7193750209490695,-3.946801244675923,-2.3739808186652316,-5.314815912621864,-9.402638209632874,-7.496933197907504,-9.244868500259155
2436.png,3,0.582963969339438,-0.7163162393350767,-3.005065798949014,-2.3837013231600275,-4.567136860822592,-8.728955305008963,-6.8829100260006415,-8.051960241672468
1658.png,3,0.5841454025010095,-0.7211790142718667,-3.7956973966157155,-2.3903696880845824,-5.164943978098838,-9.054571545691605,-7.257818909488149,-9.140010669529472
1623.png,3,0.5734522913716815,-0.7210649062943635,-4.398517048728521,-2.3856446587164903,-6.283898294934102,-10.678151931350866,-8.627642546955133,-10.928916166181988
2806.png,3,0.5999532061501176,-0.7248554561867921,-4.699212409190822,-2.414464617247976,-6.234584255490665,-10.80360035607705,-9.091433896130534,-10.644248466022326
182.png,3,0.5866236200676542,-0.7224794154842524,-3.758388820761308,-2.400995150777843,-5.345775761668828,-9.322115128999066,-7.320047769521021,-9.430663847103462
844.png,3,0.5876702570686958,-0.7237424546516009,-3.8788429106808855,-2.410474890199497,-5.453433070228822,-9.415930708042165,-7.459717408293505,-9.826396535608618
2967.png,3,0.6097028075276782,-0.725336486902901,-3.2523237019759836,-2.4435583138819728,-5.045507936136392,-8.801283342580877,-6.687812525293007,-9.438587881924475
2834.png,3,0.5951584553846777,-0.7218203063004021,-3.692088255068458,-2.39720636415217,-5.269869990271357,-9.629719786945412,-7.464135642670991,-9.123550886891177
1153.png,3,0.593706618618524,-0.7215205139070074,-3.6655381069817676,-2.3958508167867496,-5.2276661004427725,-9.061442333741985,-7.102965049321291,-9.547330879563619
1954.png,3,0.5994131474394935,-0.7238434677185404,-5.137258028472152,-2.405174591999536,-6.3466072938135305,-11.061832664051163,-9.181026452830036,-10.773566798531848
